employeenumber,age,attrition,businesstravel,distancefromhome,education,educationfield,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,numero_empresas_anteriores,horas_extra,incremento_salario,nivel_trabajo,satisfaccion_relaciones_interpersonales,clasificacion_jornada,años_experiencia,cursos,worklifebalance,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,salary,remotework,salary_month
776,28,No,travel_rarely,10,3,Life Sciences,3,M,3,2, Sales Executive ,4,Unknown,1,No,13,3,1,Unknown,11.32,4,Alto,5,1,2,65245.88,No,5437.16
777,44,No,Unknown,10,4,Technical Degree,3,M,3,1, Research Scientist ,3,Married,3,No,22,4,2,Part Time,10.0,1,Medio,6,3,3,28111.13,No,2342.59
778,36,No,travel_rarely,4,3,Life Sciences,3,M,3,3, Sales Executive ,4,Married,2,Yes,13,3,4,Part Time,9.0,3,Alto,5,1,0,100071.84,Yes,8339.32
779,39,No,travel_rarely,7,4,Medical,4,M,3,2, Research Scientist ,1,Unknown,5,Unknown,22,4,3,Part Time,16.0,2,Alto,5,0,4,42840.0,Yes,3570.0
780,29,No,Unknown,2,4,Technical Degree,2,M,3,1, Research Scientist ,2,Unknown,1,No,11,3,3,Part Time,6.0,3,Medio,5,1,2,22260.0,No,1855.0
781,37,No,travel_rarely,18,4,Life Sciences,2,M,3,2, Sales Executive ,1,Unknown,0,Unknown,16,3,4,Full Time,11.32,2,Mal,5,0,4,55610.0,Yes,4634.17
782,30,No,non-travel,16,3,Medical,3,M,3,1, Research Scientist ,3,Single,1,No,14,3,3,Unknown,5.0,3,Medio,5,1,4,65245.88,Yes,5437.16
783,31,No,Unknown,1,3,Life Sciences,1,M,3,2, Healthcare Representative ,1,Married,0,No,12,3,1,Part Time,6.0,5,Medio,5,0,2,53730.0,No,4477.5
784,56,No,Unknown,9,2,Life Sciences,1,F,3,2, Research Scientist ,3,Married,3,No,11,3,3,Part Time,9.0,6,Medio,4,2,3,28970.0,No,2414.17
785,26,No,travel_rarely,7,2,Life Sciences,4,M,2,2, Healthcare Representative ,3,Single,1,No,12,3,2,Unknown,4.0,2,Medio,4,1,2,65245.88,Yes,5437.16
786,40,No,travel_frequently,6,4,Life Sciences,1,M,2,2, Manufacturing Director ,3,Married,2,No,11,3,4,Unknown,10.0,1,Alto,8,7,7,65245.88,No,5437.16
787,44,No,Unknown,18,4,Life Sciences,4,M,3,2, Research Scientist ,1,Unknown,6,Unknown,17,3,3,Full Time,9.0,3,Medio,4,1,2,54100.0,Yes,4508.33
788,43,No,Unknown,1,3,Life Sciences,4,M,3,1, Research Scientist ,4,Unknown,3,No,22,3,1,Part Time,11.32,3,Alto,5,1,0,27820.0,Yes,2318.33
789,27,No,travel_rarely,8,2,Life Sciences,1,F,3,2, Sales Executive ,3,Unknown,0,Yes,22,4,2,Part Time,6.0,3,Medio,5,0,4,53914.11,Yes,4492.84
790,46,No,Unknown,1,3,Medical,2,M,3,1, Research Scientist ,4,Single,6,Yes,12,3,3,Part Time,6.0,2,Alto,4,1,2,28111.13,Yes,2342.59
791,52,Yes,Unknown,1,4,Life Sciences,2,M,3,2, Sales Executive ,3,Unknown,7,No,12,3,4,Part Time,12.0,3,Unknown,6,0,1,53914.11,Yes,4492.84
792,38,No,Unknown,11,4,Marketing,2,F,2,2, Sales Executive ,4,Married,4,No,13,3,1,Part Time,8.0,2,Medio,6,0,0,53914.11,No,4492.84
793,47,No,Unknown,20,3,Life Sciences,4,F,3,2, Sales Executive ,3,Unknown,8,No,15,3,3,Part Time,11.32,3,Alto,5,0,1,48500.0,Yes,4041.67
794,42,No,Unknown,2,4,Life Sciences,3,F,3,1, Research Scientist ,3,Married,2,Unknown,14,3,2,Unknown,20.0,2,Alto,5,0,2,65245.88,Yes,5437.16
795,37,No,travel_rarely,1,4,Life Sciences,3,F,1,1, Research Scientist ,4,Married,1,No,12,3,4,Part Time,4.0,5,Alto,4,1,1,28111.13,Yes,2342.59
796,31,No,travel_rarely,13,2,Other,4,M,2,2, Laboratory Technician ,2,Unknown,4,Unknown,13,3,1,Part Time,10.0,2,Alto,4,0,3,53914.11,No,4492.84
797,36,No,Unknown,8,3,Life Sciences,2,M,4,2, Laboratory Technician ,3,Unknown,2,No,12,3,1,Unknown,11.32,3,Muy alto,4,1,2,65245.88,Yes,5437.16
798,29,No,travel_rarely,2,1,Life Sciences,1,M,3,1, Laboratory Technician ,2,Married,9,No,12,3,4,Part Time,6.0,3,Alto,2,2,2,28111.13,No,2342.59
799,33,No,Unknown,26,1,Life Sciences,1,M,3,1, Research Scientist ,3,Divorced,1,Unknown,17,3,4,Part Time,5.0,1,Medio,5,4,3,28111.13,Yes,2342.59
800,36,No,travel_rarely,7,2,Life Sciences,2,M,3,1, Laboratory Technician ,4,Divorced,0,Unknown,11,3,3,Unknown,3.0,2,Alto,2,1,2,65245.88,Yes,5437.16
801,30,Yes,travel_rarely,24,3,Life Sciences,3,M,2,1, Laboratory Technician ,3,Single,5,Yes,14,3,2,Part Time,6.0,4,Alto,4,0,3,28111.13,Yes,2342.59
802,34,No,travel_rarely,5,2,Life Sciences,1,M,4,1, Research Scientist ,2,Divorced,0,Yes,12,3,4,Part Time,7.0,5,Medio,6,0,5,28111.13,Yes,2342.59
803,40,No,Unknown,2,3,Life Sciences,4,M,3,1, Research Scientist ,4,Single,5,Yes,11,3,3,Full Time,6.0,3,Alto,3,1,2,39440.0,Yes,3286.67
804,26,No,Unknown,11,2,Life Sciences,1,F,4,2, Manufacturing Director ,3,Unknown,0,No,18,3,4,Part Time,5.0,5,Medio,4,1,3,53914.11,Yes,4492.84
805,36,Yes,Unknown,6,1,Life Sciences,2,M,3,1, Research Scientist ,1,Single,2,No,11,3,3,Full Time,11.32,2,Alto,4,1,3,29600.0,Yes,2466.67
806,34,Yes,travel_frequently,16,1,Life Sciences,2,F,1,1, Research Scientist ,1,Unknown,1,Unknown,22,3,2,Part Time,11.32,5,Alto,10,6,7,28111.13,No,2342.59
807,48,No,travel_rarely,2,4,Marketing,2,F,3,5, Manager ,1,Single,3,Unknown,12,3,4,Full Time,22.0,2,Medio,2,2,1,189470.0,No,15789.17
808,46,No,Unknown,10,4,Other,4,M,3,2, Healthcare Representative ,4,Married,2,Unknown,13,3,4,Full Time,11.32,5,Muy alto,4,1,3,64650.0,No,5387.5
809,52,Yes,travel_rarely,3,2,Life Sciences,1,M,2,1, Sales Representative ,3,Married,1,Unknown,14,3,3,Part Time,3.0,2,Alto,3,0,2,26830.0,Yes,2235.83
810,37,No,Unknown,2,3,Marketing,4,F,3,1, Sales Representative ,4,Married,1,No,13,3,1,Part Time,2.0,3,Alto,2,2,2,20140.0,Yes,1678.33
811,30,Yes,Unknown,5,4,Life Sciences,3,M,3,1, Laboratory Technician ,3,Single,1,Yes,13,3,3,Unknown,2.0,3,Medio,2,2,2,34410.0,Yes,2867.5
812,28,No,Unknown,7,3,Life Sciences,2,F,2,2, Sales Executive ,4,Married,7,Yes,19,3,3,Part Time,5.0,2,Medio,2,0,0,53914.11,No,4492.84
813,37,No,travel_rarely,7,4,Life Sciences,3,F,3,1, Laboratory Technician ,1,Unknown,3,Yes,15,3,3,Part Time,4.0,3,Alto,2,2,2,28111.13,No,2342.59
814,37,No,Unknown,7,3,Medical,2,M,3,1, Research Scientist ,1,Married,4,No,13,3,4,Unknown,5.0,2,Medio,3,1,2,65245.88,Yes,5437.16
815,39,No,travel_rarely,7,4,Medical,1,M,3,3, Research Director ,3,Unknown,4,Unknown,13,3,1,Full Time,11.32,3,Muy alto,5,0,2,136640.0,Yes,11386.67
816,48,No,travel_rarely,7,2,Medical,3,M,3,2, Human Resources ,2,Divorced,8,Yes,22,4,4,Part Time,11.32,2,Alto,4,0,2,50210.0,Yes,4184.17
817,36,No,travel_rarely,1,2,Medical,1,M,3,2, Manufacturing Director ,2,Married,1,No,15,3,3,Part Time,11.32,2,Alto,5,1,3,53914.11,Yes,4492.84
818,53,No,travel_rarely,9,4,Life Sciences,4,M,3,1, Laboratory Technician ,4,Unknown,3,Unknown,23,4,2,Part Time,10.0,4,Alto,4,0,3,28111.13,Yes,2342.59
819,26,No,travel_rarely,3,2,Other,1,F,3,2, Sales Executive ,3,Married,0,No,21,4,1,Part Time,4.0,2,Medio,3,0,2,53914.11,Yes,4492.84
820,46,No,Unknown,23,3,Life Sciences,2,M,3,2, Laboratory Technician ,2,Married,4,Unknown,12,3,3,Part Time,11.32,3,Muy alto,3,1,2,53914.11,Yes,4492.84
821,39,Yes,travel_rarely,6,4,Human Resources,3,M,3,1, Human Resources ,1,Divorced,4,Unknown,22,4,4,Unknown,11.32,3,Alto,3,0,2,28111.13,Yes,2342.59
822,61,No,non-travel,2,4,Human Resources,3,F,2,5, Manager ,4,Unknown,9,No,21,4,4,Full Time,11.32,3,Alto,3,2,2,188440.0,No,15703.33
823,27,No,Unknown,7,1,Life Sciences,4,M,2,1, Research Scientist ,4,Married,1,No,11,3,3,Part Time,11.32,2,Unknown,2,2,1,28111.13,Yes,2342.59
824,45,No,Unknown,7,3,Medical,2,F,4,1, Research Scientist ,3,Single,4,Unknown,12,3,4,Unknown,11.32,2,Alto,3,1,2,65245.88,Yes,5437.16
825,52,No,travel_frequently,12,3,Life Sciences,3,F,3,3, Sales Executive ,4,Single,4,No,11,3,4,Part Time,16.0,3,Unknown,2,2,1,100071.84,No,8339.32
826,33,Yes,travel_rarely,20,3,Life Sciences,2,F,1,2, Sales Executive ,3,Unknown,3,Yes,11,3,3,Part Time,4.0,2,Alto,2,2,2,53914.11,Yes,4492.84
827,38,No,Unknown,6,2,Medical,2,M,3,2, Manufacturing Director ,2,Divorced,6,No,20,4,4,Part Time,7.0,0,Alto,3,0,1,53914.11,No,4492.84
828,53,Yes,travel_frequently,7,4,Life Sciences,1,M,1,3, Manufacturing Director ,4,Unknown,2,Unknown,15,3,4,Full Time,18.0,2,Alto,4,0,3,106500.0,No,8875.0
829,27,No,Unknown,28,3,Life Sciences,1,M,2,2, Sales Executive ,3,Unknown,2,Unknown,18,3,4,Part Time,11.32,3,Alto,2,2,2,53914.11,No,4492.84
830,40,No,travel_rarely,3,5,Technical Degree,4,F,3,2, Research Scientist ,3,Unknown,3,Yes,20,4,2,Unknown,19.0,2,Unknown,3,2,2,43170.0,No,3597.5
831,32,No,travel_rarely,5,3,Technical Degree,4,F,3,1, Research Scientist ,1,Divorced,5,No,14,3,4,Part Time,8.0,3,Alto,3,2,2,28111.13,Yes,2342.59
832,24,No,Unknown,7,1,Medical,3,M,3,1, Research Scientist ,4,Married,1,No,24,4,1,Unknown,2.0,6,Alto,2,2,2,65245.88,Yes,5437.16
833,29,No,non-travel,9,3,Medical,4,M,3,1, Research Scientist ,2,Unknown,6,Unknown,18,3,4,Part Time,11.32,1,Mal,2,2,2,20240.0,Yes,1686.67
834,30,No,Unknown,21,3,Medical,3,M,3,1, Research Scientist ,4,Married,1,No,11,3,3,Part Time,5.0,2,Mal,5,0,2,28111.13,Yes,2342.59
835,29,No,Unknown,17,3,Life Sciences,3,M,3,1, Research Scientist ,2,Unknown,0,Unknown,16,3,4,Full Time,6.0,3,Medio,5,1,1,30580.0,Yes,2548.33
836,58,No,travel_rarely,8,3,Life Sciences,3,F,3,1, Research Scientist ,1,Divorced,4,Unknown,18,3,3,Part Time,11.32,3,Unknown,2,2,2,28111.13,Yes,2342.59
837,40,No,travel_rarely,9,2,Life Sciences,3,F,3,1, Laboratory Technician ,4,Single,1,Unknown,12,3,3,Part Time,11.32,3,Unknown,2,2,1,28111.13,Yes,2342.59
838,33,No,travel_rarely,12,1,Medical,3,F,3,1, Research Scientist ,4,Unknown,8,Unknown,23,4,3,Full Time,7.0,0,Alto,4,0,2,39290.0,Yes,3274.17
839,36,No,travel_rarely,27,2,Medical,4,F,3,1, Research Scientist ,2,Unknown,2,No,15,3,4,Unknown,9.0,3,Alto,3,1,2,65245.88,Yes,5437.16
840,52,No,Unknown,1,3,Life Sciences,3,M,2,1, Laboratory Technician ,3,Unknown,2,Unknown,15,3,4,Part Time,11.32,2,Medio,3,0,2,28111.13,No,2342.59
841,55,No,Unknown,13,2,Life Sciences,4,F,4,2, Manufacturing Director ,1,Divorced,1,No,11,3,3,Unknown,5.0,3,Alto,4,1,3,65245.88,No,5437.16
842,37,No,travel_frequently,7,3,Medical,2,F,3,2, Laboratory Technician ,2,Single,5,Unknown,11,3,4,Part Time,11.32,5,Alto,6,1,2,44250.0,Yes,3687.5
843,29,No,travel_frequently,1,1,Life Sciences,3,M,2,2, Manufacturing Director ,1,Married,5,Unknown,19,3,3,Part Time,11.32,1,Alto,2,2,0,53914.11,No,4492.84
844,42,No,Unknown,7,2,Life Sciences,3,M,3,2, Laboratory Technician ,4,Married,8,Unknown,15,3,3,Part Time,11.32,2,Muy alto,7,3,7,53914.11,Yes,4492.84
845,24,No,Unknown,7,3,Life Sciences,2,M,4,1, Research Scientist ,2,Unknown,1,Unknown,16,3,1,Part Time,4.0,2,Medio,4,2,2,23280.0,No,1940.0
846,42,No,Unknown,7,5,Life Sciences,4,M,2,2, Healthcare Representative ,4,Unknown,9,No,14,3,4,Part Time,5.0,5,Mal,3,0,2,53914.11,Yes,4492.84
847,48,No,Unknown,1,4,Life Sciences,4,M,3,3, Healthcare Representative ,1,Unknown,7,No,16,3,3,Unknown,17.0,3,Alto,4,0,3,65245.88,Yes,5437.16
848,32,Yes,Unknown,3,3,Technical Degree,4,F,3,1, Research Scientist ,1,Unknown,5,Yes,11,3,3,Unknown,8.0,5,Alto,5,0,4,65245.88,Yes,5437.16
849,31,Yes,Unknown,1,3,Life Sciences,3,M,3,1, Research Scientist ,3,Single,0,Unknown,14,3,4,Part Time,11.32,1,Medio,6,1,5,28111.13,No,2342.59
850,56,No,Unknown,3,3,Life Sciences,4,F,3,2, Sales Executive ,1,Married,2,Unknown,14,3,4,Full Time,16.0,4,Alto,6,0,5,59400.0,No,4950.0
851,35,No,travel_rarely,4,4,Life Sciences,3,F,2,1, Research Scientist ,2,Married,6,Unknown,21,4,4,Part Time,11.32,3,Alto,3,1,1,26220.0,Yes,2185.0
852,54,No,travel_rarely,2,3,Life Sciences,3,F,2,1, Laboratory Technician ,4,Single,7,Unknown,15,3,2,Full Time,11.32,3,Medio,2,2,2,32120.0,Yes,2676.67
853,61,No,travel_rarely,6,2,Medical,2,M,3,1, Human Resources ,3,Married,8,Unknown,17,3,4,Part Time,11.32,2,Medio,2,2,2,28111.13,No,2342.59
854,34,Yes,Unknown,1,3,Life Sciences,4,M,2,1, Laboratory Technician ,3,Single,0,Unknown,14,3,4,Unknown,4.0,2,Mal,3,1,2,65245.88,Yes,5437.16
855,41,No,Unknown,7,4,Medical,2,F,3,1, Laboratory Technician ,3,Divorced,7,No,14,3,3,Part Time,7.0,1,Alto,3,1,2,28111.13,No,2342.59
856,34,No,non-travel,26,4,Marketing,3,M,3,2, Sales Executive ,4,Unknown,0,No,18,3,1,Part Time,4.0,2,Alto,3,2,2,53914.11,Yes,4492.84
857,33,No,Unknown,3,4,Medical,2,M,3,3, Research Director ,3,Divorced,9,No,12,3,1,Part Time,11.32,3,Alto,2,2,2,100071.84,Yes,8339.32
858,35,No,travel_rarely,5,4,Life Sciences,3,F,2,1, Research Scientist ,4,Married,1,Unknown,13,3,3,Full Time,2.0,2,Medio,2,0,2,29110.0,Yes,2425.83
859,47,No,Unknown,7,4,Life Sciences,1,M,4,2, Manufacturing Director ,3,Unknown,4,Unknown,17,3,4,Unknown,9.0,1,Alto,3,0,2,65245.88,Yes,5437.16
860,44,No,Unknown,17,2,Life Sciences,4,F,4,2, Research Scientist ,1,Single,3,Yes,13,3,3,Part Time,11.32,1,Alto,3,0,2,53914.11,Yes,4492.84
861,31,No,Unknown,7,2,Marketing,4,M,3,2, Sales Executive ,4,Divorced,2,No,14,3,4,Full Time,11.32,2,Alto,3,0,2,69310.0,No,5775.83
862,27,No,travel_rarely,1,3,Life Sciences,1,F,3,2, Manufacturing Director ,3,Married,0,No,12,3,4,Unknown,5.0,3,Alto,4,1,2,53914.11,No,4492.84
863,34,No,Unknown,2,1,Life Sciences,4,M,2,2, Laboratory Technician ,1,Unknown,4,No,13,3,4,Part Time,9.0,5,Alto,6,0,4,21760.0,No,1813.33
864,30,No,travel_rarely,9,3,Life Sciences,4,M,3,1, Research Scientist ,4,Married,1,No,23,4,4,Unknown,11.32,3,Unknown,5,0,4,28111.13,Yes,2342.59
865,23,No,travel_rarely,3,2,Life Sciences,4,M,2,1, Research Scientist ,3,Single,1,No,17,3,1,Full Time,11.32,4,Muy alto,3,1,0,32300.0,No,2691.67
866,39,No,non-travel,1,4,Medical,1,F,3,3, Research Director ,4,Divorced,2,Yes,18,3,1,Part Time,11.32,2,Alto,5,0,2,100071.84,No,8339.32
867,40,No,travel_rarely,23,4,Life Sciences,4,M,3,2, Healthcare Representative ,4,Unknown,9,Unknown,14,3,2,Part Time,11.32,2,Alto,2,1,2,53914.11,No,4492.84
868,28,Yes,travel_rarely,16,4,Medical,1,M,3,1, Laboratory Technician ,2,Divorced,2,Yes,13,3,4,Part Time,11.32,2,Alto,3,0,2,28111.13,No,2342.59
869,51,No,Unknown,10,4,Life Sciences,3,F,3,5, Research Director ,1,Single,9,Yes,11,3,4,Full Time,11.32,4,Alto,3,1,2,186650.0,Yes,15554.17
870,33,No,travel_frequently,5,3,Life Sciences,4,F,3,1, Sales Representative ,2,Divorced,1,Unknown,11,3,3,Part Time,2.0,5,Medio,2,2,2,27890.0,Yes,2324.17
871,39,No,travel_frequently,9,3,Medical,2,M,3,1, Research Scientist ,4,Married,1,Unknown,12,3,3,Part Time,11.32,3,Medio,4,1,2,28111.13,No,2342.59
872,33,No,travel_rarely,7,4,Life Sciences,1,M,3,1, Research Scientist ,4,Married,0,Unknown,12,3,3,Part Time,11.32,4,Alto,5,0,3,28111.13,Yes,2342.59
873,33,No,travel_rarely,2,3,Human Resources,1,M,2,2, Human Resources ,1,Unknown,3,No,12,3,4,Full Time,11.32,1,Alto,2,1,0,64100.0,No,5341.67
874,33,No,Unknown,2,4,Life Sciences,3,M,3,1, Research Scientist ,4,Unknown,0,Unknown,18,3,2,Part Time,3.0,2,Mal,2,2,2,28111.13,Yes,2342.59
875,54,Yes,Unknown,7,4,Medical,1,M,2,2, Research Scientist ,2,Unknown,2,No,15,3,1,Part Time,11.0,3,Medio,8,7,7,49410.0,No,4117.5
876,30,Yes,Unknown,2,4,Medical,1,M,1,1, Research Scientist ,4,Married,5,Yes,13,3,4,Unknown,11.32,4,Medio,3,2,2,65245.88,Yes,5437.16
877,49,No,travel_rarely,5,5,Life Sciences,4,M,3,5, Research Director ,3,Married,4,Unknown,11,3,2,Full Time,21.0,2,Alto,3,1,1,191324.62,No,15943.72
878,31,No,Unknown,9,5,Other,2,M,2,1, Laboratory Technician ,4,Unknown,0,No,17,3,3,Full Time,4.0,2,Unknown,3,2,2,39830.0,Yes,3319.17
879,39,No,Unknown,5,2,Medical,4,M,3,2, Manufacturing Director ,4,Unknown,7,No,16,3,3,Unknown,8.0,2,Medio,6,0,4,65245.88,Yes,5437.16
880,25,No,Unknown,26,1,Life Sciences,3,M,3,1, Research Scientist ,4,Unknown,1,Unknown,12,3,3,Full Time,11.32,2,Medio,4,0,2,29040.0,No,2420.0
881,44,No,travel_rarely,2,1,Life Sciences,3,M,3,1, Human Resources ,3,Divorced,0,Yes,11,3,3,Unknown,4.0,5,Alto,3,1,0,65245.88,No,5437.16
882,32,No,Unknown,25,2,Life Sciences,4,F,3,2, Sales Executive ,3,Unknown,7,Unknown,12,3,2,Unknown,4.0,2,Muy alto,2,2,2,65245.88,No,5437.16
883,23,Yes,Unknown,7,1,Life Sciences,1,F,2,1, Sales Representative ,2,Single,1,Unknown,11,3,3,Part Time,3.0,3,Alto,3,1,2,21740.0,Yes,1811.67
884,59,No,travel_rarely,1,4,Medical,4,M,3,2, Healthcare Representative ,3,Unknown,2,No,11,3,3,Unknown,11.32,2,Alto,3,1,2,65245.88,Yes,5437.16
885,23,No,Unknown,9,2,Life Sciences,1,M,3,1, Sales Representative ,4,Single,1,Unknown,24,4,3,Unknown,3.0,3,Medio,3,2,2,28111.13,Yes,2342.59
886,33,No,travel_rarely,9,4,Life Sciences,3,M,2,1, Research Scientist ,2,Unknown,0,Unknown,16,3,4,Part Time,3.0,5,Alto,2,2,2,26570.0,Yes,2214.17
887,31,No,Unknown,7,3,Life Sciences,1,M,3,1, Research Scientist ,4,Unknown,9,No,16,3,4,Part Time,6.0,4,Alto,3,1,2,28111.13,No,2342.59
888,29,No,travel_rarely,1,2,Life Sciences,4,M,3,1, Laboratory Technician ,2,Unknown,1,No,11,3,2,Part Time,5.0,2,Alto,5,0,4,28111.13,Yes,2342.59
889,51,No,travel_rarely,7,3,Other,2,M,2,3, Healthcare Representative ,3,Single,8,No,24,4,3,Full Time,11.32,2,Alto,5,0,0,109650.0,Yes,9137.5
890,38,No,travel_rarely,2,3,Life Sciences,4,F,3,1, Research Scientist ,3,Married,4,No,13,3,2,Part Time,11.32,3,Alto,2,2,2,25430.0,Yes,2119.17
891,36,Yes,non-travel,19,3,Marketing,1,M,4,2, Sales Executive ,4,Unknown,8,Yes,13,3,2,Part Time,11.32,3,Medio,5,0,4,53040.0,Yes,4420.0
892,26,No,Unknown,10,4,Marketing,4,F,3,2, Sales Executive ,3,Divorced,1,Yes,12,3,4,Part Time,11.32,2,Muy alto,5,0,3,53914.11,Yes,4492.84
893,44,No,Unknown,1,4,Life Sciences,2,F,3,1, Laboratory Technician ,1,Unknown,3,No,16,3,2,Part Time,8.0,5,Alto,5,1,2,28111.13,Yes,2342.59
894,56,No,Unknown,5,2,Medical,1,M,3,5, Research Director ,1,Married,4,Unknown,11,3,3,Full Time,24.0,4,Medio,4,1,2,194060.0,No,16171.67
895,36,No,Unknown,4,4,Life Sciences,3,F,3,2, Sales Executive ,3,Married,9,No,15,3,1,Full Time,11.32,3,Alto,3,1,2,65380.0,Yes,5448.33
896,45,No,Unknown,21,3,Life Sciences,4,M,3,1, Laboratory Technician ,4,Unknown,7,Unknown,20,4,1,Unknown,11.32,1,Alto,3,1,2,65245.88,Yes,5437.16
897,45,No,travel_rarely,8,4,Other,3,F,3,2, Healthcare Representative ,3,Unknown,4,Yes,14,3,4,Part Time,11.32,3,Alto,5,0,2,53914.11,Yes,4492.84
898,33,No,travel_rarely,1,2,Life Sciences,4,M,2,1, Laboratory Technician ,1,Married,1,No,12,3,3,Part Time,4.0,3,Unknown,4,3,2,22180.0,No,1848.33
899,27,Yes,travel_rarely,3,3,Medical,1,M,3,1, Laboratory Technician ,1,Married,5,No,13,3,3,Part Time,6.0,5,Unknown,2,0,2,28111.13,Yes,2342.59
900,47,No,Unknown,10,2,Life Sciences,1,M,3,1, Research Scientist ,4,Married,3,No,21,3,4,Part Time,8.0,3,Medio,2,0,2,26540.0,Yes,2211.67
901,54,No,travel_rarely,4,2,Life Sciences,4,F,3,4, Manager ,4,Married,2,No,13,3,4,Full Time,31.0,2,Mal,5,1,4,153407.07,No,12783.92
902,36,Yes,travel_frequently,6,2,Life Sciences,4,F,1,1, Sales Representative ,3,Unknown,0,No,16,3,4,Part Time,3.0,3,Medio,2,1,0,28111.13,Yes,2342.59
903,28,No,travel_rarely,23,3,Life Sciences,1,F,3,1, Research Scientist ,4,Divorced,1,No,22,4,2,Part Time,11.32,3,Mal,3,0,2,28111.13,Yes,2342.59
904,31,No,Unknown,3,4,Life Sciences,2,M,2,3, Research Director ,3,Unknown,1,No,18,3,3,Full Time,11.32,2,Alto,10,0,7,119350.0,Yes,9945.83
905,31,Yes,Unknown,25,5,Technical Degree,3,F,2,1, Research Scientist ,2,Married,5,No,16,3,2,Part Time,6.0,2,Muy alto,2,1,1,25460.0,No,2121.67
906,48,No,Unknown,2,3,Life Sciences,1,M,3,4, Research Director ,3,Married,6,No,13,3,3,Full Time,11.32,2,Mal,3,0,1,178610.0,No,14884.17
907,48,No,Unknown,10,3,Marketing,3,F,2,3, Sales Executive ,4,Unknown,2,Unknown,19,3,3,Unknown,15.0,3,Alto,3,1,2,65245.88,No,5437.16
908,32,No,travel_rarely,7,1,Marketing,4,M,3,1, Sales Representative ,2,Single,0,Unknown,14,3,1,Part Time,11.32,3,Alto,3,1,2,28111.13,Yes,2342.59
909,36,Yes,travel_frequently,23,3,Life Sciences,2,F,3,3, Human Resources ,1,Divorced,9,Yes,15,3,3,Part Time,11.32,2,Alto,3,0,2,100071.84,No,8339.32
910,44,No,Unknown,5,2,Other,2,M,3,1, Laboratory Technician ,3,Married,4,No,17,3,4,Part Time,11.32,4,Unknown,2,2,0,28111.13,Yes,2342.59
911,24,Yes,Unknown,7,1,Technical Degree,3,M,2,1, Laboratory Technician ,3,Single,5,No,16,3,3,Full Time,4.0,3,Alto,2,1,2,38940.0,Yes,3245.0
912,31,No,travel_rarely,19,3,Technical Degree,4,M,3,2, Manufacturing Director ,4,Divorced,4,No,12,3,2,Part Time,8.0,2,Muy alto,3,1,2,42620.0,Yes,3551.67
913,48,No,travel_frequently,18,1,Medical,1,F,3,3, Healthcare Representative ,3,Married,5,No,11,3,4,Unknown,11.32,3,Medio,2,1,2,105270.0,Yes,8772.5
914,34,Yes,Unknown,11,4,Other,4,M,4,2, Sales Executive ,3,Unknown,8,Unknown,12,3,4,Part Time,11.32,2,Alto,4,1,2,53914.11,Yes,4492.84
915,26,No,Unknown,24,3,Medical,4,M,3,1, Sales Representative ,4,Unknown,0,No,13,3,3,Unknown,3.0,3,Alto,2,2,1,65245.88,No,5437.16
916,37,No,travel_rarely,25,2,Life Sciences,1,M,2,2, Laboratory Technician ,4,Single,4,No,14,3,4,Part Time,11.32,3,Alto,3,0,2,36810.0,No,3067.5
917,44,No,Unknown,2,4,Life Sciences,3,F,3,2, Healthcare Representative ,4,Married,1,No,13,3,2,Part Time,10.0,4,Alto,10,2,2,53914.11,Yes,4492.84
918,50,No,travel_rarely,1,4,Life Sciences,4,F,2,4, Manager ,1,Married,7,No,11,3,1,Full Time,21.0,3,Mal,3,0,2,153407.07,Yes,12783.92
919,46,No,travel_rarely,1,4,Life Sciences,1,F,2,2, Human Resources ,3,Unknown,4,No,11,3,2,Part Time,10.0,1,Muy alto,2,0,2,53914.11,Yes,4492.84
920,36,No,Unknown,14,3,Life Sciences,3,F,3,1, Sales Representative ,3,Unknown,1,Yes,18,3,4,Part Time,8.0,3,Alto,8,0,6,28111.13,Yes,2342.59
921,23,No,Unknown,22,1,Technical Degree,3,M,3,1, Sales Representative ,3,Unknown,1,Unknown,11,3,3,Full Time,11.32,2,Alto,3,1,2,34470.0,Yes,2872.5
922,46,No,travel_rarely,3,4,Life Sciences,4,M,3,5, Manager ,4,Unknown,4,Unknown,12,3,1,Unknown,26.0,2,Muy alto,2,0,1,65245.88,Yes,5437.16
923,24,No,travel_rarely,6,1,Medical,1,M,3,1, Research Scientist ,3,Married,0,Unknown,20,4,4,Part Time,11.32,3,Alto,2,2,2,28111.13,Yes,2342.59
924,28,No,travel_rarely,6,3,Life Sciences,3,F,3,1, Laboratory Technician ,4,Unknown,1,Yes,13,3,3,Unknown,11.32,2,Alto,3,0,2,65245.88,No,5437.16
925,38,No,Unknown,9,2,Medical,2,M,2,2, Manufacturing Director ,2,Unknown,2,Yes,11,3,3,Full Time,13.0,2,Alto,3,0,2,88470.0,Yes,7372.5
926,29,No,Unknown,3,4,Medical,1,M,2,1, Research Scientist ,4,Single,0,Unknown,13,3,4,Part Time,5.0,0,Alto,4,1,1,20450.0,Yes,1704.17
927,25,No,travel_rarely,4,3,Life Sciences,1,M,4,1, Research Scientist ,1,Unknown,2,Unknown,16,3,1,Part Time,5.0,3,Muy alto,3,0,2,28111.13,No,2342.59
